2025-06-20 02:27:43,342 - result - CRITICAL - LLM: gpt-4o-mini
2025-06-20 02:27:43,342 - result - CRITICAL - Mode: Solo
2025-06-20 02:27:43,342 - result - CRITICAL - Datapoints: 500

2025-06-20 02:27:43,343 - result - CRITICAL - ESSAY SET 1:

2025-06-20 02:31:14,495 - result - CRITICAL - 
                                                 essay  score  y_pred  diff
267   "Dear editors, I was planning on taking a trip...     10       8    -2
191   "Dear Local newspaper, @CAPS1 are big aguments...      9       8    -1
305   "I blive that computers have a lot of effects ...      6       4    -2
979   "Dear @CAPS1 I would like to inform the public...      6       6     0
531   "@ORGANIZATION1, @CAPS1 studies have been cond...      9       6    -3
641   "Dear Newspaper, I am writing to you @DATE1 be...      8       4    -4
38    "Computers and the @CAPS1 were a technological...     10       6    -4
990   "Dear Local Newspaper, @CAPS1 you think comput...      8       6    -2
317   "Dear @ORGANIZATION1, @DATE1, everywhere you l...     11       6    -5
585   "Dear @CAPS1 @CAPS2, @CAPS3 recently has been ...      8       6    -2
142   "Fairfield @CAPS1 @CAPS2 computers have a bad ...      8       8     0
423   "Dear @LOCATION2 press, I wonder if you know t...      9       6    -3
330   There are many reasons that computers are a go...     10       8    -2
627   "Dear local Newspaper, I think people using a ...      8       8     0
42    "How @MONTH1 times do you use the computer in ...     11       6    -5
103   "Dear @CAPS1 of Newspaper, @CAPS2 has been bro...      9       6    -3
517   "Dear @CAPS1 or @ORGANIZATION2, local paper @C...      8       6    -2
421   "Dear @CAPS1 @CAPS2 I think that computer have...      8       4    -4
1032  "Dear Local Newspaper, The question everyone i...      7       6    -1
159   "Dear local newspaper, @PERCENT1 of @CAPS1 own...      8       8     0
668   "Computers are intresting peices of technology...      8       6    -2
605   "To @CAPS1 @CAPS6 @MONTH1 concern: @CAPS2 I ha...      9       7    -2
686   "Dear local newspaper, Computers are effecting...      8       6    -2
15    "Dear Local Newspaper @CAPS1, I am writing to ...      9       8    -1
985   "I believe that computers make everyday work e...      9       8    -1
589   "To the @CAPS1, I have recently heard that som...      8       8     0
639   "Would you like to be on the computer @NUM1 an...      9       4    -5
234   "Recently, there has been debate about whether...     11      16     5
923   "Click, click, click the mouse of a computer g...     10       8    -2
377   "Hello, I decided to write in to the paper on ...     10       8    -2
611   "Dear @ORGANIZATION1, I think computers have g...      6       8     2
143   "My opinion about the effects of computers is ...      6       6     0
840   "Dear @CAPS1 @CAPS2 I felt shoeked to see that...      8       6    -2
499   "Dear local newspaper, I believe that computer...      7       8     1
949   "Dear @ORGANIZATION1, I think that more people...      9       8    -1
77    "To whom it @MONTH1 @CAPS1, I have recently he...      8       6    -2
601   "Dear local newspaper, Computers are a waste o...      9       6    -3
23    "Dear The @CAPS1, @CAPS2 has been an argument ...     10       8    -2
89    "Dear @CAPS1 @CAPS2, I think that being on the...      8       8     0
545   "Dear @CAPS1 Newspaper, @CAPS2 you know what c...      8       6    -2
769   "Dear @CAPS1, @CAPS2 name is @PERSON1 and I wi...     12       6    -6
74    "Dear @CAPS1 of the @ORGANIZATION1, I personal...      7       6    -1
447   "@ORGANIZATION2. Hey ma name is @PERSON1 I'm @...      8       4    -4
44    "Dear newspaper editor, I have recently heard ...      6       8     2
831   "Dear Newspaper, i am writing you this letter,...      8       6    -2
117   "Student @ORGANIZATION2: @PERSON1 @CAPS1: @NUM...      6       6     0
1058  "I think that computer are a good benefit for ...      8       8     0
671   "Dear @CAPS1 @CAPS2 I think it's a good thing ...      8       6    -2
211   "Dear readers, @CAPS1 if I told you that every...     10       7    -3
714   "Dear @CAPS1 of the @CAPS2 @CAPS3 daily, I am ...      8       8     0
248   "Dear editor, Computers are becoming more and ...     12       8    -4
147   "Dear local newspaper, I feel very strong abou...      6       8     2
108   "Dear Newspaper @CAPS1, @CAPS2 you like it if ...      9       6    -3
965   "Dear trained readers, @CAPS1't you agree that...      8       4    -4
1053  "Dear @CAPS1, I believe that computers are goo...      9       6    -3
781   "Dear local newspaper, I strongly think we sho...      6       6     0
404   "Dear local newspaper, I just wanted to say th...      8       8     0
917   "Dear @CAPS1: you recently posed a question in...     12       8    -4
820   "Dear @LOCATION1, I believe that going on the ...      5       6     1
201   "Dear: local newspars @CAPS1 recently been bro...      8       4    -4
768   "Computers definitely have a positive impact o...      9       6    -3
114   "Dear @ORGANIZATION1, @CAPS1 opinion on the ef...      8       8     0
729   "Dear Newspaper of @LOCATION1, The use of the ...     10      16     6
634   "@CITY1 @CAPS1, Computers are very helpful dev...     11      16     5
894   "I Believe that computers have a positive effe...     11       8    -3
1030  "Dear Newspaper, @CAPS1 do @CAPS5 do when @CAP...      8       6    -2
920   "Dear local newspaper, @CAPS1 are several reas...      9       4    -5
93    "Should there be computers in are society. Yes...      7       6    -1
832   "Dear local newspaper, Computers have a good e...      8       8     0
1063  "Dear Local Newspaper: @CAPS1 you know that ov...     12       8    -4
646   "The @ORGANIZATION1 @ORGANIZATION1 Newspaper j...      8       6    -2
320   "Dear @CAPS1, I believe that computers do have...      8       8     0
861   "To the Local Newspaper, Computers have a heav...      8       8     0
764   "Dear @LOCATION1, I believe computers have a p...     10       8    -2
231   "Do computer hurt you fate a you exercise? I t...      8       4    -4
444   "@ORGANIZATION1, @CAPS1 is a lot of positive t...      8       8     0
60    "Dear @ORGANIZATION2, @CAPS1 @CAPS2 of @CAPS3 ...      9       6    -3
374   "Some people think it is a good idea and same ...      7       6    -1
574   "Dear @CAPS1, @CAPS2 my name is @CAPS3 and I d...      7       4    -3
896   "Dear @CAPS1 @CAPS2 @CAPS3, @DATE1's society i...     11       7    -4
922   "Dear local newspaper, I think that the comput...      8       6    -2
1039  "Dear, @ORGANIZATION2. A computer is a very he...      9       8    -1
878   "Dear Local Newspaper, I just heard that peopl...      7       4    -3
315   Dear: local newspaper I agree with experts tha...      6       4    -2
851   "Dear Local Newspaper, I am writing to you abo...     10       8    -2
702   "Dear Local Newspaper, ""@CAPS1 people have an...      9       6    -3
439   "Dear @CAPS1, I think that computer are a wast...      6       6     0
919   "Dear editor of the @CAPS1 @CAPS2, People say ...     10       8    -2
998   "Dear local newspaper, In my opinion I feel li...      9       6    -3
977   "In modern society, @CAPS3 is rare that you co...     10       7    -3
428   "Dear local Newspaper, I assume you've heard a...      9       8    -1
700   "Dear local newspaper, @CAPS1 people are talki...      9       8    -1
327   "Dear local newspaper, I think the effects of ...      8       8     0
68    "@ORGANIZATION1, The use of computer per famil...     10       6    -4
1068  Dear - Local Newspaper I agree thats computers...      7       6    -1
500   "@ORGANIZATION1, @PERCENT1 of people in the wo...      8       6    -2
314   "Dear local Newspaper? Today i am wrinting thi...      7       4    -3
930   "Dear @CAPS1, I am aware of the current debate...      9       8    -1
203   "Dear local Newspaper, I think that computers ...      8       8     0
664   "Dear Local @CAPS1, @CAPS2 do you feel about c...      9       8    -1
803   "Dear local news paper, I agree that technolog...     10       8    -2
302   "To whom this @MONTH1 concern: I heard that pe...      8      14     6
667   "Dear Local Newspaper, I am writing to you to ...      9       6    -3
580   "Dear Readers, @CAPS1 of the most important in...     10       7    -3
956   "I do not beileve that computers benefit socie...      7       6    -1
675   "Dear Local Newspaper, I think the effects tha...     10       8    -2
1020  "In my own opinion I think that people should ...      7       6    -1
561   "The computer is a good way to contact family ...      8       4    -4
179   "Dear local Newspaper, This is a letter about ...      8       8     0
149   "Dear Local Newspaper, Have you ever forgot th...     10      16     6
891   "Dear Local Newspaper, I agree with the concer...      8       8     0
928   "Computers are becoming more advanced everyday...      8       8     0
635   "Dear local newspaper, I has come to my attent...     12       8    -4
257   "Dear local Newspaper, I hear you are whether ...      9       8    -1
967   "Computers were built to help the people make ...      9       8    -1
194   "@ORGANIZATION1, In today's age computers are ...      9       8    -1
223   "Dear Newspaper, I have been reading about the...      9       6    -3
884   "Knoleg is one of the greatest quests for mank...     10       6    -4
18    "Dear Newspaper, In @DATE1's world we are depe...     10      16     6
135   "Dear local newspaper, @CAPS1 my opinion on th...      6       4    -2
1045  I think that will are all spending to much tim...      8       4    -4
784   "Dear Newspaper @CAPS1, @CAPS2 people in our c...      9       8    -1
86    "Dear, Who ever this concerns Some people are ...      7       4    -3
162   "Dear @ORGANIZATION1, @CAPS1 name is @CAPS2 @C...      5       4    -1
901   "Dear Local newspaper, I think computers are g...      8       6    -2
88    "Dear Readers of the Local Newspaper, More and...      8       6    -2
466   "Dear editor of local newspaper, @CAPS1 you kn...     11       6    -5
871   "Dear Local Newspaper, Have you ever thought a...     10      10     0
523   "some people learn about far away places, gett...      8       6    -2
456   "Dear @CAPS1 @CAPS2, Computers are all around ...      7       6    -1
410   "Dear @CAPS1, @CAPS2 out of ten people spend t...      8       6    -2
14    "Dear Newspaper, People are spending way too m...      9       8    -1
565   "Dear @CAPS1, @CAPS2, I would like to thank yo...     10       8    -2
946   "Deear Newspaper, I think that the effects tha...      8       4    -4
503   "Dear @PERSON1, I'm sending you this letter on...      8       6    -2
984   "Dear @CAPS1, Some people say that computers a...      9       8    -1
413   "Dear editor, Have you ever would to know some...     11      14     3
631   "would you rather read six books to get that o...      8       6    -2
793   "Dear The Local Newspaper, I do @CAPS1 compute...      8       8     0
476   "Dear Local Newspaper, @CAPS1 opinion on the e...      8       8     0
187   "Dear Local Newspaper, I agree with the expert...      7       6    -1
397   "Coumputors are mind browning on what they can...      8       4    -4
712   "Do a adults and kids spend to much time on th...      7       6    -1
1017  "Computers, one of the daily things we use and...      6       6     0
815   "Dear @ORGANIZATION1, I think that computers c...      8       6    -2
264   "Dear The @CAPS1 newspaper, @CAPS2 in front of...     12       6    -6
407   "@ORGANIZATION1, @CAPS1 you @CAPS2 want your k...      8       4    -4
370   "Dear @ORGANIZATION1, To begin, I understand t...      8       8     0
695   "Everyone loves staying on the computer. I wou...      8       4    -4
110   Dear People Computers are not a really good th...      8       6    -2
270   "Do Computers benfit the society? Yes, compute...      8       8     0
384   "Dear @CAPS1 @CAPS2, Computers do put possitiv...      8       8     0
689   "Dear @CAPS1 @CAPS2: The effects computers hav...      8       6    -2
708   "Man has always been interested in technology....      8       6    -2
213   "Computers are a huge impact on society, but d...      9       6    -3
636   "Dear @CAPS1 @CAPS2 register, I am writting yo...      9       6    -3
109   "Do you have a computer? I'll bet @PERCENT2 of...     10       6    -4
814   "Dear Newspaper, The world that we live in tod...      9       8    -1
899   "Dear Readers, @CAPS1 you imagine not talking ...      8       6    -2
830   "Dear @CAPS1, @CAPS2 the ages, technology has ...     11       6    -5
127   "Dear the newspaper, Computers are great resou...     10       8    -2
209   "Do you like your computer? Does it benifit yo...      9       6    -3
973   "Dear local @CAPS1, @CAPS2 people have been us...      9       6    -3
255   "On today's society many new technologys have ...      8       4    -4
498   "Dear, local news time editor using a @CAPS1 d...     10       6    -4
1056  "Dear @CAPS1 @CAPS2 I believe that there is mo...      9      10     1
189   "Dear The @ORGANIZATION1, Computers are out! T...     10       6    -4
759   "I walked into my living room. I saw my brothe...     10       6    -4
207   "Dear @CAPS1 -in-@CAPS2, Computers are very he...      8       8     0
839   "@ORGANIZATION1, I am writing this letter to i...      8       6    -2
691   "Dear Newspaper, Have you notice that now a da...     10       8    -2
534   "The innovation of computers was a great leap ...     12      16     4
440   "Being active has no limit, but technology does."      2       2     0
253   "@ORGANIZATION1, @CAPS1 a world without comput...      9       8    -1
855   "As you can see, technology these days is alwa...      9       8    -1
995   "Dear local newspaper, I have recently saw tha...      9       8    -1
242   "Dear newspaper I hear the more and more peopl...      8       6    -2
460   "Dear @ORGANIZATION1, Some people are debating...     10       8    -2
788   "Dear @CAPS1 I support that computers have a p...      8       6    -2
398   "In my opinion, having computers is avery nice...     10       6    -4
0     "Dear @CAPS1 @CAPS2, I believe that using comp...      9       6    -3
279   "Dear local newspaper, I agree with the people...      8      10     2
727   "Dear @ORGANIZATION1, I think computers are go...      6       8     2
910   "Did you know that @PERCENT2 out of @PERCENT1 ...      9       8    -1
389   Computers don’t have any affect on kids we jus...      5       4    -1
57    "I walked into my living room. I saw my mom av...     11       8    -3
867   "Dear editor, computers are good for people be...      2       4     2
465   "Dear local newspaper, I strongly think that m...     10       8    -2
236   "Dear Newspaper @CAPS1, The average american u...     10       6    -4
402   "Dear Local Newspaper @CAPS1, @CAPS2 show that...     10       8    -2
22    "Dear @ORGANIZATION1, In this new digital age,...     11       8    -3
183   "Dear Newspaper @CAPS1, @CAPS2 people believe ...     10       8    -2
313   "Dear Local Newspaper, @CAPS1 personal experie...      9      14     5
883   "Dear town of southing ton, Computers our town...      8       6    -2
819   "Dear newspaper editor, In my opion computers ...      8       6    -2
188   "Dear @CAPS1 of @LOCATION1, @CAPS2 the world h...     12       8    -4
541   "Dear @ORGANIZATION1, I am aware that some peo...     10      16     6
282   "Dear local Newspaper, @CAPS1 has come to @CAP...      8       6    -2
746   "Dear people that read the news paper and that...      8       4    -4
592   "Dear newspaper I think that there are many re...      9       6    -3
55    "Dear @ORGANIZATION1, I believe many people sp...      9       7    -2
387   "Dear People of @LOCATION2, @CAPS1 many hours ...     10       7    -3
720   "Over the past decade, the percentage of peopl...     10       8    -2
972   "Dear Newspaper @CAPS1, With computers being s...     10      16     6
338   "Dear, @CAPS1 town. As you know it computers a...      6       6     0
134   "Dear @CAPS1, I believe that computers can be ...      8      16     8
573   "Dear @CAPS1, I believe that computers have a ...      8       8     0
371   "Dear Newspaper, I'm writing to you about the ...      7       6    -1
3     "In the @LOCATION1 we have the technology of a...      9       6    -3
970   "Do you think people spend to much time on the...      8       6    -2
435   "Dear Local Newspaper, Have you ever thought a...     10       6    -4
40    "Dear Readers of the @ORGANIZATION1, Computers...     10      10     0
640   "Dear computer experts, @CAPS1 this: A family ...     12      10    -2
1012  "My opinion on computers is that I think it's ...      8       8     0
62    "I think computers are good because if you nee...      6       4    -2
140   "Suppose you have a family member that you hav...      8       8     0
43    "Computers and modern technology are advancing...      9      10     1
907   "Dear editor of @ORGANIZATION1, I am writting ...      8       4    -4
982   "Did you know that in a recent poll in the @CA...      9      14     5
197   "Dear Newspaper, People should play with their...      9       8    -1
340   "Dear Local newspaper, I have concerned becaus...      8       6    -2
27    "@ORGANIZATION1, In my opinion computers can b...      9       8    -1
773   "Do Computers @CAPS1 Society? This question mi...      6       4    -2
835   "The computer effects peoplelife by taking the...      8       4    -4
829   "Dear local newspaper @CAPS1, I do agree that ...      8       4    -4
660   "Dear local Newspaper, I was reading this arti...      8       6    -2
132   "Dear @CAPS1 times, I am writing in regards to...      8       8     0
617   "Guess what! Do you like to use computers well...      8       6    -2
41    "Dear local Newspaper, Some people say compute...      9       8    -1
266   "Have you ever had someone move away and you w...      9       6    -3
511   "Dear Local Newspaper, I don't know if I am un...      9       6    -3
723   "Dear @CAPS1, @CAPS2 name is @PERSON1 and I do...      8       6    -2
300   "Dear @ORGANIZATION1, it has come to my attent...     10       8    -2
751   "Not everyone thinks computers are good for yo...      6       8     2
30    "@ORGANIZATION1, @CAPS1 has been a lot of disc...     10       6    -4
294   "Dear Newspaper, @CAPS1 do you feel about comp...     11       7    -4
477   "Dear newspaper, I heard you were discussing i...     11       6    -5
24    "Dear Local Newspaper @CAPS1, @CAPS2 our techn...     12       8    -4
916   "Dear readers, I right to you today about the ...      8       8     0
806   "Dear @CAPS1 @CAPS2, I have recently heard abo...      8      16     8
35    "Dear Local Newspaper, everday @CAPS1 technolo...      9       6    -3
868   "When your were a kid, did your parents let yo...     10       6    -4
612   "Advancements in technology are very practical...     10       6    -4
391   "Dear @CAPS1 of the Newspaper, @CAPS2 is no do...     10       6    -4
754   "Dear @CAPS1, @CAPS2 would you want to do in y...      9       8    -1
577   "Dear editor, @CAPS1 you think that people spe...      8       6    -2
1007  Dear @CAPS1 @CAPS2 I think that people are spe...      8       4    -4
1062  "Dear @PERSON1, Computers are very helpful in ...      8       6    -2
426   "Dear @ORGANIZATION1, @CAPS1 the world forty y...     11      10    -1
555   "Each year the world becomes more and more adv...     10       8    -2
293   "Dear local Newspaper, In my opinion computers...      9       6    -3
102   "Dear, @ORGANIZATION1 @CAPS1 opinion is gettin...      6       6     0
507   "Dear local newspaper, Computers are a usefull...      8       4    -4
316   "The importance of computers in the modern wor...      4       4     0
666   "Dear @CAPS1 @CAPS2, @CAPS3 are you? As for me...     10       8    -2
535   "Dear Local Newspaper, I am writing a letter t...      8       8     0
21    "Dear @CAPS1 and @CAPS2 of the @LOCATION1 @CAP...      7       6    -1
155   "Dear @ORGANIZATION1 newspaper, I firmly belie...     10      10     0
198   "Dear @ORGANIZATION1, Computers these days hav...     10      16     6
364   "Dear Local Newspaper, @CAPS1 name is @PERSON1...     10       6    -4
4     "Dear @LOCATION1, @CAPS1 people acknowledge th...      8       8     0
711   "Dear @LOCATION1, *@CAPS1*. Now I hear my favo...     10       6    -4
353   "I belive the reason why people use the comput...      8       6    -2
598   "Dear @CAPS1, @CAPS2 a student I believe that ...      9       8    -1
735   Dear local newspaper I think that usieng compu...      6       4    -2
210   "Dear @ORGANIZATION2, Computers are destroying...     11       8    -3
301   "I think @CAPS1's should use computer's so the...      6       6     0
25    "Dear Local Newspaper, @CAPS1 @PERCENT1 in tow...      9       8    -1
411   "Dear @CAPS1, @CAPS2 people find the clicking ...      8       8     0
87    "The amount of computer usage has been signifi...     11       6    -5
908   "Dear @ORGANIZATION1, I took a poll of @NUM1 p...      8      12     4
934   "Dear Newspaper @CAPS1 @CAPS2 you think that c...      8       6    -2
790   "Dear local newspaper, @CAPS1 has come to my a...      9       6    -3
1002  "Dear Newspaper @CAPS1, Are you aware that mor...      9       4    -5
719   "Dear @LOCATION1, @CAPS1 you think the compute...      8       6    -2
163   "Computers are an amazing technology to life. ...      8       6    -2
195   "I think computers are good, because some peop...      4       4     0
336   "Dear @ORGANIZATION1, I am here to talk about ...      9      10     1
918   "People are asking me, ""@CAPS1 you think we s...      8       6    -2
508   "Dear editor, I beleve that people should have...      7       6    -1
683   "Dear local news paper, @CAPS1 computers is a ...      8       8     0
1018  "Dear, local newspaper people @CAPS1's lot of ...      8       4    -4
297   "People often say that computers and technolog...      8       8     0
509   The effects of computers to people are that ad...      8       6    -2
519   "Dear Newspaper people, @CAPS1 you might heard...      9       6    -3
69    "Dear editor: More and more people use compute...      9      14     5
752   "Dear @ORGANIZATION1, @CAPS1 being at home wit...     10       6    -4
82    "Dear @CAPS1, I think that people I should the...      6       4    -2
383   "Dear @CAPS1 paper, @CAPS2 name is @PERSON1 an...      8       6    -2
239   "To the editor of the daily newspaper, I stron...     10       6    -4
537   "Computers are a nice item to have but they ar...      9       6    -3
952   "Dear @CAPS1, In a recent poll it was determin...     10       8    -2
272   "Dear @CAPS1 @CAPS2, I have some opinions on t...      9       6    -3
204   "Dear Local Newspaper, I'm writeing to you tod...      8       6    -2
124   "Dear, Newspaper I believe that the use of com...      8       6    -2
20    "Dear Newspaper, @CAPS1 computers become more ...      8       8     0
876   "Dear Newspaper, @CAPS1 being able to find the...      8       6    -2
430   "Dear @ORGANIZATION1, I understand that there ...     11       8    -3
342   My experience with commputer's is good because...      6       4    -2
591   "@ORGANIZATION1, In my point-of-view, I think ...      8       8     0
665   The effect's computers have on people is not r...      5       4    -1
424   "Dear local newspaper, I think that computers ...      8      10     2
425   "Dear newspaper, I think that using your compu...      8       8     0
858   "In my opinion I think that computers have not...      7       6    -1
5     Dear @CAPS1 @CAPS2 I feel that computers do ta...      8       6    -2
129   "Dear newspaper, In my opinion, I believe that...      8       6    -2
286   "Dear @CAPS1 @CAPS2 @CAPS3, I think we should ...     10       8    -2
969   "Are people today spending to much time on com...      8       4    -4
572   "Dear local newspaper, @DATE1 I am going to wr...     10       6    -4
215   "To the editor of the @ORGANIZATION2, I am wri...     10      16     6
1036  "Dear @ORGANIZATION2, @DATE1, computers are a ...     11       8    -3
251   "Computers have many effects on people these d...      8       6    -2
481   "Dear @LOCATION1 @CAPS1, @CAPS2 are high tech ...     11       6    -5
645   "Dear Local newspaper, Technology is a ever ev...      6       6     0
653   "Dear Local Newspaper, I am here to tell you t...      9       8    -1
765   "Have you ever thought about all the amazing t...     11      10    -1
947   "To whomever this @MONTH1 concern, @CAPS1 your...     10       8    -2
273   "Dear @CAPS1-republican, @CAPS2 do benifit soc...      8       8     0
54    "Dear Local Newspaper, Spending too much time ...     11       8    -3
461   "Dear, @CAPS1 Who would'nt agree that more and...      8       4    -4
17    "Dear @ORGANIZATION1, In the past ten years, a...      8      16     8
265   "To whom it @MONTH1 concern, @CAPS1. My name i...     11       6    -5
366   "Dear @ORGANIZATION1, @CAPS1 has been brought ...     12       8    -4
307   "Dear local news paper, I think computers can ...      8       6    -2
380   "The use of computers is definetly correct. It...      7       6    -1
158   "Dear Local Newspaper, @CAPS1 of all I would l...      7       6    -1
903   "Dear The @CAPS1 @CAPS2, Experts say that comp...      9       8    -1
166   "Dear @CAPS1 local @CAPS2, I think that comput...      8       6    -2
963   "Dear local Newspaper, @CAPS1 you love compute...      8       6    -2
828   "There are many great things about computers. ...      8       6    -2
214   "Dear local newspaper, I think that using a co...      8       8     0
178   "Dear Local Newspaper, I have been asked to wr...     10       8    -2
528   "Computers are one of the best advances in tec...     10       8    -2
141   "Dear Local Newspaper, I think computers have ...      9      14     5
394   "Dear newspaper, @CAPS1 some beleive computers...      9       8    -1
243   "I agree that computers have a bad effect on p...      6       6     0
152   "Dear @CAPS1, I belive that people are spendin...      8       6    -2
438   "Dear, whom @MONTH1 concern; Local Newspaper. ...      8       4    -4
372   "I think it is okay for people to use computer...      8       6    -2
648   "Dear local nepaper, I have reacently heard ab...      8       6    -2
794   "Dr. @DR1, The effects computers have on peopl...      7       6    -1
607   "Dear editor: @CAPS1 you know that @PERCENT1 o...      9       8    -1
378   "Readers of ""@LOCATION2 @CAPS1"" should be we...     11      16     5
557   "Dear @LOCATION1, Have you ever found yourself...      8       6    -2
681   "To the @CAPS1 @CAPS2 @CAPS3, This day in age,...     11       6    -5
119   "Dear, editor of the @ORGANIZATION1. I beleive...     10       8    -2
1067  "Dear readers, I think that its good and bad t...      2       4     2
184   "Dear @CAPS1, I believe computers are a huge b...     10       8    -2
656   "Dear newspaper editor, I think we should have...      9       8    -1
987   "The advancements of technology has developed ...      8       4    -4
785   "Dear, @CAPS1 of the @ORGANIZATION1 @CAPS2 has...      9      10     1
95    "Dear @ORGANIZATION1 @ORGANIZATION1, Have you ...      8       7    -1
470   "I believe that people should enjoy nature mor...      7       6    -1
1055  "Dear @ORGANIZATION1, @CAPS1 you know that @NU...      9       7    -2
97    "Computers have a good effect on people becaus...      9       6    -3
157   "Dear local newspaper, Too much technology! Co...      8      14     6
892   "Dear Local @CAPS1, I am deligted to write thi...      9       8    -1
774   "Dear newspaper, I think computers have a good...     10       8    -2
538   "Dear local newspaper, I think your wrong!!. I...      8       6    -2
637   "Dear @CAPS1, @CAPS2 we all know more and more...      7       8     1
1057  "Computers have gotten more advanced over time...      8       8     0
512   "Lies! The computers we use in society do not ...     10      16     6
888   "@ORGANIZATION1, In my opinion, the effects co...      6       8     2
168   "Computers are very helpful in many of ways. I...      6       4    -2
28    "Dear @CAPS1 @CAPS2 @CAPS3, I am writing to te...      7       6    -1
960   "Dear @CAPS1 @CAPS2, I am writing to you about...      7       6    -1
339   "Dear Newspaper, I strongly believe that compu...      8       6    -2
659   "@CAPS1 you know we all like computers and we ...      8       4    -4
246   "Dear @LOCATION1 @CAPS1, Computers lately have...     10       8    -2
808   "@DATE1 @CAPS1 The @CAPS2, I believe that comp...      8       8     0
975   "I don't think computers benefit the society a...      8       6    -2
816   "Dear Local Newspaper, Local newspaper do you ...      8       6    -2
743   "Dear @CAPS1 @CAPS2 @CAPS3, Computers are a so...      8       6    -2
303   "Dear @LOCATION1, @CAPS1 you believe people sp...      8       4    -4
974   "Dear Newspaper, I believe that computers have...      8      16     8
1000  "Dear @CAPS1 and readers @ORGANIZATION1 the @O...     11       6    -5
715   Dear local Newspaper @CAPS1 a take all your co...      3       4     1
