2025-06-21 19:09:01,486 - result - CRITICAL - LLM: gpt-4o-mini
2025-06-21 19:09:01,486 - result - CRITICAL - Mode: Solo
2025-06-21 19:09:01,486 - result - CRITICAL - Datapoints: 50

2025-06-21 19:09:01,486 - result - CRITICAL - ESSAY SET 1:

2025-06-21 19:09:02,016 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
848   "Censorship in the libraries. Do you think tha...      6       4    -2
42    "Dear @CAPS1,      @CAPS2 name is @PERSON1. I ...      8       7    -1
89    "I belive that certain materials such as books...      8       7    -1


2025-06-21 19:09:02,522 - result - CRITICAL - ESSAY SET 3:

2025-06-21 19:09:03,027 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
839   "Each new feature of the setting in the essay ...      3       3     0
848   "Do not Exceed posted speed limit, never accep...      2       2     0
108   "In the essay “Do not Exceed Posted Speed Limi...      3       3     0
461   "The features of the setting affect the cyclis...      3       3     0
255   The features of the setting affect the cyclist...      1       2     1
15    "Setting can affect anyone and everyone, in th...      1       2     1
149   "The riders condition was rough, from flat lan...      1       2     1
778   When the cyclist went to ask about the road th...      1       2     1
574   "The features of the barren desert path make t...      3       4     1
133   "The setting that were affecting the cyclist w...      1       2     1
38    "The settings have a huge affect on the cyclis...      3       2    -1
1013  "The features of the setting effected the cycl...      1       3     2
143   "As he began his journey, he had full confiden...      2       3     1
871   "The features of the setting affect the cyclis...      2       3     1
196   "In the essay “Do Not @CAPS1 Posted Speed Limi...      3       3     0
37    The setting of the essay efects the cyclist be...      1       2     1
172   "Many features of the cyclist’s surroundings e...      1       2     1
928   "The feature of the setting affect the cyclist...      1       2     1
63    "In the story “Do Not Exceed Posted Speed Limi...      3       3     0
203   "In the essay “Rough Road Ahead: Do Not Exceed...      2       3     1
909   The features of the setting affected the cycli...      1       2     1
44    "The features of the setting effected the cycl...      2       2     0
787   "There were many features in the setting that ...      2       3     1
694   "The cyclist in the story is at first confiden...      3       4     1
695   "The features of the setting affect the cyclis...      2       2     0
511   "At first when he gets the directions from the...      3       3     0
267   "The desert and the hills had a huge effect on...      1       3     2
727   "The features of the setting do affect the cyc...      0       2     2
671   "In the short story Rough Road ahead: Do Not E...      3       3     0
42    In this I will tell you how the cyclist was be...      2       2     0
532   "The dessert environment had huge effects on t...      2       3     1
188   "The setting in the essay “Rough Road ahead; D...      2       3     1
366   "In 'Rough @CAPS1 Ahead' the features of the s...      2       3     1
903   "In the essay “Rough Road Ahead, Do Not Exceed...      1       2     1
1020  "In the essay by Joe Kurmaskie many obstacles ...      2       3     1
187   "Poor directions heat, and lack of water affec...      3       3     0
207   The features of the setting is that it is hot ...      2       2     0
1030  "In the essay, “Rough Road A head Do Not Excee...      3       3     0
1027  "Different features of the settings affect the...      1       3     2
380   "If I had a choice to ride a bike in Californi...      1       3     2
352   The features of the setting affect the cyclist...      1       2     1
103   "The features in the setting of this story aff...      1       2     1
933   "The features of the setting affect the cyclis...      2       2     0
981   "The features of the setting affected the cycl...      1       3     2
656   The features of the setting affected the cycli...      1       2     1
919   The setting affects the rider because it is ve...      1       2     1
450   "The features of the setting including vast em...      3       3     0
300   "THE FEATURES OF THE SETTING AFFECT THE CYCLIS...      3       2    -1
297   "The setting of the cyclist clearly influences...      3       4     1
579   The features of the setting affect the cyclist...      1       2     1


2025-06-21 19:09:03,028 - result - CRITICAL - ESSAY SET 4:

2025-06-21 19:09:03,537 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
289   The author concludes the story with this parag...      1       3     2
686   "The  author includes that sentence of the end...      1       3     2
162   I believe he used this as the ending to ensure...      0       2     2
659   "The story  “Winter Hibiscus"" by Minfong Ho. ...      2       3     1
736   "In this story theauther deicides to end the s...      1       2     1
483   "The author concludes the story with the afore...      2       4     2
992   "In the story “Winter Hibiscus” by Minfong Ho,...      1       3     2
172   I know the reason why the author concludes the...      1       2     1
63    "The author concludes the story with this para...      1       3     2
477   "The author concludes with this sentence for e...      2       3     1
383   "“When they came back, Saeng vowed silently to...      3       4     1
104   This is a powerful sentence that demonstrates ...      2       5     3
103   "The author ends the story with this paragraph...      3       3     0
143   "After reading “Winter Hibiscus, I can tell th...      1       3     2
38    The author concludes the story with this parag...      0       2     2
796   "The author concluded the story with the parag...      0       2     2
918   "The author concludes story with that paragrap...      3       3     0
133   "Saeng and her mother have to be determined to...      2       2     0
481   "She concludes that paragraph with the story b...      0       2     2
42    The auther cncludes the story with this paragr...      1       2     1
203   "The author concludes the story like that to s...      2       3     1
466   "The response that the author concludes the st...      0       2     2
313   "The author concludes the story with they para...      2       3     1
147   "The author concludes with this paragraph to s...      2       4     2
474   "I believe that the author chose to conclude t...      3       3     0
330   "The author most likely concludes the story wi...      1       3     2
749   What l think the author was talking abount sno...      0       2     2
1001  "The author concludes the story with this para...      2       4     2
929   "I think the author ends the story like this b...      1       3     2
960   "In the story “winter Hibiscus” the author Min...      3       3     0
189   "The story “Winter Hibiscus” is about a young ...      1       3     2
37    "The author concludes this story in the paragr...      1       2     1
353   "The author uses this conclusion for a reason....      1       2     1
945   "The author concludes the story with this para...      2       3     1
866   "The author concluded this because she thinks ...      1       3     2
15    In this story Saeng shows her mother how pasio...      0       2     2
671   "The author concludes the story with the parag...      3       4     1
711   "The author concludes this story with this par...      2       2     0
926   "I think that the author concludes the story w...      2       3     1
338   "I think  the author concluded the story like ...      0       2     2
301   "In the story “Winter Hibiscus” by @CAPS1 Ho. ...      2       2     0
968   "At the end of the story, winter Hibiscus, the...      2       3     1
209   "The author views the hibiscus plant as a new ...      1       2     1
314   "Authors use many techniques to improve their ...      0       2     2
593   "The author concludes the story with this para...      2       4     2
861   "The author concludes the story with that para...      1       3     2
901   I think the author used this paragraph for the...      1       2     1
810   "I beleive the author ends the story with this...      2       3     1
302   "The author concludes the story with that para...      3       4     1
266   "This paragraph represents an action that Saen...      3       3     0


2025-06-21 19:09:03,538 - result - CRITICAL - ESSAY SET 5:

2025-06-21 19:09:04,055 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
592   "In the memoir ""Narciso @CAPS1"" by the Bluep...      2       2     0
336   "In the story ""Narciso Rodriguez"" written by...      2       2     0
699   "In the memoir, ""@PERSON1"" from Home: The @C...      1       3     2
108   The mood the other Created was how happy narci...      2       2     0
430   "The mood created by the author in the memoir ...      2       4     2
508   "The mood that the author creates in the memoi...      2       5     3
253   The title of the story is Narciso Rodriguez. T...      1       2     1
698   "The authors mood of the memoir is that @CAPS1...      3       5     2
104   "The Originally from cuba arrived in the Unite...      1       2     1
114   "The mood in this memoir is gratefulness. This...      4       5     1
733   "In the memoir, ""Narciso Rodriguez from Home:...      2       5     3
851   "Narciso Rodriguez creates a mood of happiness...      4       5     1
909   The mood created by the author in the memoir w...      1       2     1
1005  "Home: The Blueprints to Our Lives is a wonder...      3       4     1
201   "the mood created in the memoir were all diffe...      1       3     2
40    "In this memoir of the author creates a clear ...      3       5     2
665   "In this memoir the mood varies. In paragraphs...      3       4     1
196   "The author of this memoir creates a warm, lov...      4       6     2
279   The author created many different moods in thi...      2       3     1
597   "I beleive the mood that sets off in the beggi...      3       3     0
370   "The authors mood in the memoir @PERSON1 is th...      3       4     1
804   The mood in the memoir is happy and thankful. ...      2       4     2
305   "In the memoir. from ""Home The Blueprints of ...      3       5     2
461   "The mood created in the memoir, ""Narciso Rod...      4       5     1
100   "In the memoir, the author created a mood. The...      3       5     2
650   "The mood created in the memoir is I think com...      3       5     2
789   "The mood created by the author in the memoir ...      2       3     1
755   "The mood created by Narciso Rodriguez in the ...      2       3     1
36    I think the author's mood was kind of like @CA...      2       3     1
923   "The mood in the memoir is very uplifting. The...      2       4     2
1011  "I think that there is a warm mood in the memo...      2       5     3
384   "No matter what nationality you are you can ge...      2       3     1
1051  "Narciso Rodriguez tried to create a warm feel...      2       3     1
940   "In this paragraph I'm going to tell you the m...      2       4     2
398   "The mood Narciso Rodriguez is trying to portr...      2       5     3
826   The mood created by the auther sounds like he'...      2       3     1
991   "the mood that the author created is happiness...      3       4     1
77    "The mood created in this story was happiness ...      2       5     3
133   The mood created by the auther in the memoir i...      2       3     1
37    "The mood created by the authar was warmthness...      3       3     0
397   "This @CAPS1 shows a lot of different types of...      4       5     1
974   "The mood of the memoir I believe to be gratef...      2       4     2
667   "In the memoir Narciso Rodriguez from Home: Th...      3       5     2
1020  "The mood created by the author is your family...      2       3     1
425   "In this memoir, the author creates a very cal...      3       5     2
371   "In this memoir, there are moods created by th...      3       4     1
527   "In this memoir, the mood created by the autho...      3       5     2
1074  "The mood created by the author in the memoir ...      2       5     3
872   "The mood that is created by the author is joy...      2       4     2
289   The mood of the memoir is very appreciative. T...      1       3     2


2025-06-21 19:09:04,056 - result - CRITICAL - ESSAY SET 6:

2025-06-21 19:09:04,574 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
959   "When attempting to allow dirigibles to dock o...      3       6     3
40    "In attempting to allow dirigibles to dock on ...      3       7     4
1055  "Some of the obstacles facing the builders was...      2       5     3
1008  "They get good idea to make that building, but...      0       0     0
383   "Most of the obsticles the builders of the Emp...      2       3     1
248   "The obstacles the builders of the @ORGANIZATI...      4       5     1
234   "In the excerp ""The Mooring Mast"", by @ORGAN...      3       5     2
572   "The builders of the Empire State building fac...      3       6     3
585   "One problem that the builders has was that th...      3       4     1
972   "In ""The Mooring Mast"" by Marcia Amidon @CAP...      2       4     2
796   The builders faced many obstacles in trying to...      2       6     4
1074  "Based on the excerpt ""The Mooring mast"" by ...      1       2     1
36    "The builders of the Empire State Building's m...      3       7     4
634   "Based on the excerpt, the obstacles the build...      4       6     2
787   "Besides The facts That docking dirigibles on ...      3       4     1
397   "During the Building of the Mast, the builders...      3       5     2
410   "In the excerpt ""THE MOORING MAST"" by Marcia...      3       4     1
103   "On @DATE1, The Empire State Building was anno...      3       5     2
377   "There were many obstacles that the builders o...      4       6     2
267   "In the excerpt ""The Mooring Mast"" by Marcia...      2       4     2
1007  "The builders faced multiple obsticles in atte...      3       6     3
304   "The builders of the Empire State Building fac...      3       5     2
673   "The architects of the Empire State Building f...      4       7     3
912   "When building the Empire State Building, the ...      3       5     2
854   "In The Mooring Mast by Marcia Amidon Lüsted, ...      2       4     2
1073  "The weight was an obstacle they faced. ""A th...      4       5     1
424   "In the excerpt ""The Mooring Mast"" by Marcia...      1       5     4
681   "There were many obstacles the builders of the...      3       5     2
632   "The Empire State Building was built with grea...      2       3     1
1071  "The builders of the Empire State building fac...      4       6     2
518   "In the excerpt ""The Mooring Mast"" written b...      4       5     1
172   "In @DATE1, the Empire State Building was cons...      3       5     2
444   "The dirigibles were not able to dock on the m...      2       5     3
536   "When building the empire state Building, the ...      3       5     2
1012  "There were many obstacles the builders of the...      2       5     3
731   "The builders of the Empire State Building fac...      3       6     3
143   "During the attemp in building a docking stati...      4       5     1
1017  "The dream of the aviation pioneers of docking...      3       6     3
37    "In order for the Empire State Building to doc...      4       7     3
387   "In the excerpt ""The Mooring Mast"" by Marcia...      3       5     2
336   "The Mooring Mast by @ORGANIZATION1, the build...      3       5     2
935   "Obstacles the builders haded to face with the...      1       3     2
77    The obstacles the builders of the Empire State...      3       4     1
834   "When building the Empire State Building, the ...      3       6     3
954   "The builders of the Empire State Building fac...      3       6     3
841   "Although the builders tried hard to make thei...      3       6     3
611   "In the excerpt ""The Mooring Mast"" by Marcia...      4       6     2
848   "The Mooring Mast by @ORGANIZATION2 outlines t...      4       7     3
42    "The task of trying to allow dirigibles to doc...      3       6     3
89    "The plan to allow dirigibles to dock on the E...      4       6     2


2025-06-21 19:09:04,575 - result - CRITICAL - ESSAY SET 7:

2025-06-21 19:09:05,088 - result - CRITICAL - 
                                                 essay  score  y_pred  diff
935  "I was patient one time, really patient but ki...     16      28    12
372  "A time that I was patient is when I had my tw...     13      24    11
142  "It was @CAPS1 @CAPS2 I was up watching tv wai...     17      12    -5
273  "Sometimes its hard to be patient, especilly w...     14      16     2
44   "You being patient is important. People should...     18      18     0
201  "One day me, my mom, my dad, my sister, my bot...     15      10    -5
352  A time I was pacent was I was wating in line f...      8      12     4
340  Patience perso is someone that deal with diffi...     11      12     1
808  "Patience, @CAPS6 essential part of our world....     14      16     2
15   "@NUM1 years ago on my birthday the only thing...     18      12    -6
167  "There are lots of times that I have been pati...     16      18     2
297  "“@CAPS1 on @CAPS2, where are you ,” @PERSON1 ...     21      12    -9
93   "One important skill you need in the life is p...     17      28    11
821  "A day that I was patient was, one day I was r...     18      20     2
183  "Have you ever been patient before? Well l hav...     24      28     4
37   When I was going to the doctor I had to be pat...     13      14     1
38   "I was patient when I was on my way to @LOCATI...     16      12    -4
875  "Why wasn’t my uncle there yet? Come on! I was...     23      12   -11
518  "One day I woke up and looked outside it was s...     17      24     7
414  "Being patient means that your understanding a...     21      22     1
179  Being patience is a good thing because if you ...      9      16     7
774  "A time when I was patient was when I was at m...     17      24     7
421  A time when I was patient was when I was at th...     16       4   -12
862  "I am writing about a time when someone I knew...     17      24     7
579  A time I was patient was when I had to be pati...     10      10     0
512  "When ll was going to @LOCATION1 with my famil...     18      24     6
647  "Have you ever been patience ? I believe we sh...     11      18     7
652  "Once, I was @NUM1 old and I was so eager abou...     12      22    10
780  "Being patient is one of the many things child...     24      26     2
873  "Every year me and my entire family take a tri...     16      40    24
826  "One day me and my mom dad and sister were goi...     13      24    11
503  "My story about being patient is the time I wa...     15      30    15
234  "One day in the beginning of foll, @PERSON1 wa...     21      28     7
670  "A time when I was patient was when I ordered ...     17      16    -1
782  "A time when I was patint is when I was at the...      9      10     1
838  "There was a time that I didn’t want to be pat...     17      12    -5
330  "@PERSON1, this is boring! I want to try my ba...     24      20    -4
703  "I remember a time when @CAPS3 sister used to ...     22      20    -2
483  A time when I had to be patient was when I had...     22      16    -6
374  "When I was about @NUM1 I wanted one thing in ...     15      12    -3
604  "I remember when me, my brother, my dad and my...     15      18     3
293  "“ @CAPS1 can I get a puppy .” “ @CAPS2” “@CAP...     19       6   -13
14   "You have to be paceint when you are cooking s...      8      14     6
316  "It can be very hard for somebody to be patien...     13      24    11
752  "There once was a time when someone I knew was...     15      18     3
108  "Patience. Patience is something I have absolu...     15      14    -1
656  "One time it was hard to wait, but I was patie...     23      18    -5
517  "Patience is, in definition, being understandi...     10      14     4
404  "“@CAPS1  @PERSON1, it’s @PERSON3 how are u”? ...     20       0   -20
198  "@CAPS6 was @NUM1 at night, @CAPS1 @CAPS2 and ...     13      14     1


2025-06-21 19:09:05,090 - result - CRITICAL - ESSAY SET 8:

2025-06-21 19:09:05,595 - result - CRITICAL - 
                                                 essay  score  y_pred  diff
135  Have u ever been hit by a basketball in the fa...     31      22    -9
151  "Someone once told me that laughter is the key...     33      52    19
330  " My @CAPS1 year of high school started off le...     40      74    34
19   "Iv always loved laughter in my life, I don't ...     27      45    18
405  "            Just One @CAPS1 @CAPS2 @CAPS3 A @...     36      64    28
15   "@DATE1 was the start of a new age, i had just...     28      24    -4
110  " I have been waiting a whole year for @TIME1 ...     34      49    15
329  " One day I decided to go over to my friend @P...     40      75    35
68   "Laughter can create this type of bond that's ...     35      69    34
222  "       Laughter In A Relationship The most im...     36      48    12
187  "    Laughter is an important part of any rela...     41      81    40
95   "Laughter: A @CAPS1 @CAPS2 @CAPS3 of the varie...     35      60    25
207  " The human brain is a piece of work. Its the ...     45      48     3
266  "     Every one laughs, i love to laugh in fac...     36      56    20
365  " Its my sophomore year and some of my friends...     40      50    10
336  " One of the most oddest things in life is how...     42      58    16
126  "One time I was sick, and I told my mom ""I ne...     28      36     8
103  "  Laughter is the only expression in my opini...     36      44     8
44   "                          A funny Story  Many...     30      32     2
274  "Have @CAPS1 ever had that one friend who was ...     40      76    36
85   " It was the first day of the ninth grade, tha...     42      60    18
428  " It all started when my eighth grade class ha...     34      30    -4
13   "                              Laughter       ...     31      51    20
239  "  Middle school was a challenging environment...     40      84    44
334  " I believe laughter brings many different peo...     36      70    34
182  DUE you think that being part of sameting funi...     15       2   -13
100  " When I had turned fifteen I was so anxious t...     36      53    17
156  " What makes you laugh? Laughter is a really g...     37      45     8
20   One day me and my friend taylor got the idea o...     24      24     0
77   " For a year and two months I'd devoted my lif...     40      84    44
270  " My sister @PERSON3 and my niece @PERSON2 had...     32      68    36
221  " The wind rose and fell, whipping against the...     46      50     4
321  " A while back, I had a friend named @PERSON4....     31      64    33
303  " In this essay I will be telling you about wh...     33      44    11
196  "Laughter can sometimes be something that ever...     29      44    15
134  " Laughter, one of the wonderful things that w...     35      55    20
309  " Just @CAPS1 walking through @ORGANIZATION2 i...     40      52    12
210  " The members of my immediate family are known...     41      47     6
320  "Laughter is the best medicine Many people say...     40      20   -20
224  " Close people to you enjoy the moment you hav...     40      76    36
397  " When I was adopted, I didn't know what to ex...     41      79    38
337  "Laughter is the @CAPS1 @CAPS2't @CAPS6 frustr...     43      50     7
155  "                               The @CAPS1 @CA...     33      50    17
35   " Laughter is key. You never really think abou...     40      82    42
328  " People can share many things. DNA, clothes, ...     36      76    40
378  "                             laughter      wh...     30      20   -10
426  " The sound of laughter could be one that brea...     46      75    29
169  " Having laughter in your life is a big part i...     37      48    11
306  " I have had many great times with my grandpa....     40      59    19
37   " Everyone laughs differently , some people la...     40      72    32


2025-06-21 19:09:05,596 - result - CRITICAL - Evaluation:
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 1: 0.03903
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 2: 0.03340
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 3: 0.11556
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 4: 0.26444
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 5: 0.18375
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 6: 0.35750
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 7: 0.06933
2025-06-21 19:09:05,596 - result - CRITICAL - MSE of Set 8: 0.15998
2025-06-21 19:09:05,597 - result - CRITICAL - Average MSE: 0.15287

2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 1: 0.28318
2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 2: 0.44504
2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 3: 0.36678
2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 4: 0.27527
2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 5: 0.28488
2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 6: 0.22903
2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 7: 0.20091
2025-06-21 19:09:05,597 - result - CRITICAL - QWK of Set 8: 0.18163
2025-06-21 19:09:05,597 - result - CRITICAL - Average QWK: 0.28334

2025-06-21 19:09:05,597 - result - CRITICAL - -----------------------------------------------------------------



